"uninjured_rep1" "uninjured_rep2" "regen_rep1" "regen_rep2"
"ENSDARG00000004105" 327 256 1160 1069
"ENSDARG00000004109" 91 75 19 43
"ENSDARG00000004111" 20 19 24 31
"ENSDARG00000004114" 247 221 349 345
"ENSDARG00000004115" 877 684 558 680
"ENSDARG00000004130" 123 94 163 191
"ENSDARG00000004131" 529 468 679 728
"ENSDARG00000004132" 2426 2240 3255 3317
"ENSDARG00000004141" 217 113 1203 1233
"ENSDARG00000004148" 1820 1671 2162 2191
"ENSDARG00000004150" 57 58 90 122
"ENSDARG00000004151" 171 151 452 453
"ENSDARG00000004154" 136 147 282 285
"ENSDARG00000004158" 257 229 363 379
"ENSDARG00000004160" 3488 3801 4436 4979
"ENSDARG00000004161" 1778 1549 3660 3460
"ENSDARG00000004167" 256 204 639 742
