"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "threshold" "external_gene_name"
"193" "ENSDARG00000008803" 4089.81829261482 3.60309842316543 0.172332290692752 3.22676455285914e-98 1.37494919723907e-95 TRUE "marcksb"
"194" "ENSDARG00000060434" 153.906354271627 3.60198452560915 0.366818353691196 1.01964893505631e-23 2.47729969774162e-22 TRUE "map1b"
"197" "ENSDARG00000041703" 3741.03153408159 3.58696947832915 0.179210236442042 3.47344812118195e-90 1.20255115765471e-87 TRUE "rrbp1b"
"198" "ENSDARG00000008278" 275.446023750773 3.57832533535923 0.344377279346296 1.80371315818914e-26 5.25314861644214e-25 TRUE "rcor2"
"199" "ENSDARG00000042659" 401.515495768112 3.57645032830831 0.238549312851711 7.89795204720738e-52 6.90061759783921e-50 TRUE "thyn1"
"200" "ENSDARG00000041062" 86.0012561761452 3.57618894362905 0.46964368825355 3.07257055003451e-15 3.63213770910396e-14 TRUE "calb2a"
"201" "ENSDARG00000007207" 338.216765488266 3.56526234213413 0.254365173602277 1.14562098414317e-45 8.27998412020008e-44 TRUE "cnpy2"
"202" "ENSDARG00000053558" 397.406445121953 3.56151874386117 0.255935610547738 3.82420562456888e-45 2.71587238932523e-43 TRUE "rtkn2a"
"203" "ENSDARG00000061416" 39.4310890097054 3.56029561366252 0.668584761077057 1.22691812255682e-08 7.23790228763712e-08 TRUE "c2cd4a"
"204" "ENSDARG00000071549" 6322.24901171825 3.55681082655255 0.15806086955712 2.93016954810954e-113 1.56070973026904e-110 TRUE "ecm2"
"205" "ENSDARG00000073721" 544.559831350771 3.55420632064332 0.232011982477047 4.12603018650017e-54 3.98183477614965e-52 TRUE "smarcad1b"
"206" "ENSDARG00000011094" 408.562054819612 3.54714877465861 0.252852382345129 1.05910609331342e-45 7.67907368233032e-44 TRUE "ccna2"
"207" "ENSDARG00000041071" 4.61776332317956 3.54639939512664 3.10998108527948 0.00472156596703438 0.0117359070796869 TRUE "jagn1a"
"208" "ENSDARG00000014943" 1331.79002661629 3.54471595024837 0.206204683992922 2.19518947271209e-67 3.39665714110094e-65 TRUE "kif23"
"209" "ENSDARG00000053481" 2893.53391688814 3.54227211541799 0.189851274018024 7.46666309002241e-79 1.73785014793572e-76 TRUE "entpd5a"
"210" "ENSDARG00000025017" 49.4847330179037 3.53284385532386 0.573996376081288 1.01112907654611e-10 7.4840304738369e-10 TRUE "prdm8"
"211" "ENSDARG00000030759" 231.153927666111 3.53207470630257 0.307508766955557 1.38523774252269e-31 5.40379292319026e-30 TRUE "melk"
"212" "ENSDARG00000070006" 1576.67550408745 3.53194268754743 0.179980352104183 6.91239798194278e-87 2.25238455183376e-84 TRUE "rcn1"
"213" "ENSDARG00000092142" 12.0457332988852 3.52907715658965 1.27907110983126 0.000835167726995013 0.00243978910817222 TRUE "BX663503.1"
"215" "ENSDARG00000020289" 202.635286743706 3.52761993157654 0.30365498065226 3.65727064448187e-32 1.4809272666698e-30 TRUE "pif1"
"216" "ENSDARG00000091150" 4227.83861663478 3.52436637019576 0.193087416819315 1.5054286709334e-75 3.04349327728777e-73 TRUE "mki67"
"217" "ENSDARG00000068580" 1488.90318957454 3.51925891944314 0.176656296257182 2.41888382577798e-89 8.27108954599664e-87 TRUE "glis1a"
"218" "ENSDARG00000031894" 1873.12507121768 3.5186170472352 0.187636693890818 1.7080727190168e-79 4.1498675525095e-77 TRUE "lef1"
"219" "ENSDARG00000087509" 4.66439093099698 3.51297740905711 3.16934785630208 0.00490322328113125 0.012127574139801 TRUE "si:ch73-322b17.4"
"220" "ENSDARG00000041616" 334.263724939322 3.50648951102662 0.270163527297379 1.88483679355056e-39 1.08532899523846e-37 TRUE "b3gnt9"
"221" "ENSDARG00000043004" 171.880144239442 3.50019819481181 0.343409192157539 1.87626797877789e-25 5.12495011915298e-24 TRUE "si:dkeyp-117h8.4"
"222" "ENSDARG00000075954" 7194.80910216421 3.49671233581743 0.166778438080291 1.00456291007224e-98 4.34740295629232e-96 TRUE "serpinh1a"
"224" "ENSDARG00000071082" 844.302744377418 3.49419433591472 0.214839968185186 1.44251951552159e-60 1.77570946761785e-58 TRUE "p4ha1b"
"225" "ENSDARG00000043640" 147.99114096448 3.49011262596362 0.354178761687288 6.43027835547518e-24 1.5887548582658e-22 TRUE "cenpn"
